accuracy,loss,val_accuracy,val_loss,learning_rate
0.29814502596855164,2.6414382457733154,0.7355371713638306,0.909920334815979,0.0010000000474974513
0.7122259736061096,0.9077936410903931,0.8925619721412659,0.3474779427051544,0.0010000000474974513
0.8519814610481262,0.502113401889801,0.9600551128387451,0.20483894646167755,0.0010000000474974513
0.9052698016166687,0.35123082995414734,0.9793388247489929,0.13404332101345062,0.0010000000474974513
0.9351180195808411,0.27546927332878113,0.9834710955619812,0.12917383015155792,0.0010000000474974513
0.948735237121582,0.23500101268291473,0.9876033067703247,0.12278883904218674,0.0010000000474974513
0.959485650062561,0.206984743475914,0.9917355179786682,0.10673435777425766,0.0010000000474974513
0.9684654474258423,0.18357765674591064,0.9903581142425537,0.12176205962896347,0.0010000000474974513
0.9680860042572021,0.18913927674293518,0.9986225962638855,0.09897881746292114,0.0010000000474974513
0.9743254780769348,0.1719323992729187,0.994490385055542,0.12193859368562698,0.0010000000474974513
0.9765176773071289,0.16812045872211456,0.9889807105064392,0.12185123562812805,0.0010000000474974513
0.9811129570007324,0.1571236103773117,0.997245192527771,0.11100021004676819,0.0010000000474974513
0.9792158603668213,0.1598316878080368,0.9958677887916565,0.10585568100214005,0.0010000000474974513
0.9795953035354614,0.1645698994398117,0.9958677887916565,0.11016868054866791,0.0010000000474974513
0.9897976517677307,0.12901762127876282,0.997245192527771,0.10345356911420822,0.0005000000237487257
0.9919477105140686,0.1158771887421608,1.0,0.08982778340578079,0.0005000000237487257
0.9930859804153442,0.11039026081562042,1.0,0.08645807951688766,0.0005000000237487257
0.993381142616272,0.10704479366540909,1.0,0.0835912823677063,0.0005000000237487257
0.9925801157951355,0.10693497955799103,1.0,0.08046668022871017,0.0005000000237487257
0.9927487373352051,0.10419710725545883,1.0,0.07758127152919769,0.0005000000237487257
0.9934232831001282,0.09893336892127991,1.0,0.07572335749864578,0.0005000000237487257
0.9934232831001282,0.09708906710147858,1.0,0.07381647825241089,0.0005000000237487257
0.9940134882926941,0.09209972620010376,1.0,0.07049056887626648,0.0005000000237487257
0.9944772124290466,0.08914230763912201,1.0,0.06833838671445847,0.0005000000237487257
0.9937183856964111,0.0892799124121666,0.9986225962638855,0.06956898421049118,0.0005000000237487257
0.9934232831001282,0.08753795176744461,1.0,0.06626438349485397,0.0005000000237487257
0.9944350719451904,0.0852721780538559,1.0,0.06419491022825241,0.0005000000237487257
0.9948145151138306,0.07875489443540573,1.0,0.06264611333608627,0.0005000000237487257
0.9940134882926941,0.08112489432096481,1.0,0.06123007833957672,0.0005000000237487257
0.994308590888977,0.08007467538118362,1.0,0.059902023524045944,0.0005000000237487257
0.9942243099212646,0.07960610836744308,1.0,0.059545282274484634,0.0005000000237487257
